index,group,yes_side,test_order,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,path
84,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,17,UHG_UHK_5_17.mp3
85,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,1,,B,P,NA,NA,16,AAB_AAP_1_16.mp3
86,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,1,,D,T,NA,NA,21,AAD_AAT_5_21.mp3
87,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,1,,G,K,NA,NA,16,AAG_AAK_3_16.mp3
88,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,15,AHB_AHP_3_15.mp3
89,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,28,AHD_AHT_3_28.mp3
90,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,20,AHG_AHK_3_20.mp3
91,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,15,IHB_IHP_5_15.mp3
92,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,14,IHD_IHT_3_14.mp3
93,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,19,IHG_IHK_5_19.mp3
94,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,1,,B,P,NA,NA,15,UHB_UHP_5_15.mp3
95,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,1,,D,T,NA,NA,21,UHD_UHT_5_21.mp3
96,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,1,,G,K,NA,NA,19,UHG_UHK_5_19.mp3
97,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,yes,1,,B,P,NA,NA,30,AAB_AAP_1_30.mp3
98,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,yes,1,,D,T,NA,NA,30,AAD_AAT_5_30.mp3
99,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,yes,1,,G,K,NA,NA,30,AAG_AAK_3_30.mp3
100,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,yes,1,,B,P,NA,NA,30,AHB_AHP_3_30.mp3
101,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,yes,1,,D,T,NA,NA,30,AHD_AHT_3_30.mp3
102,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,yes,1,,G,K,NA,NA,30,AHG_AHK_3_30.mp3
103,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,yes,1,,B,P,NA,NA,30,IHB_IHP_5_30.mp3
104,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,yes,1,,D,T,NA,NA,30,IHD_IHT_3_30.mp3
105,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,yes,1,,G,K,NA,NA,30,IHG_IHK_5_30.mp3
106,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,yes,1,,B,P,NA,NA,30,UHB_UHP_5_30.mp3
107,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,yes,1,,D,T,NA,NA,30,UHD_UHT_5_30.mp3
108,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,yes,1,,G,K,NA,NA,30,UHG_UHK_5_30.mp3
109,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,10,AAB_AAP_1_10.mp3
110,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,15,AAD_AAT_5_15.mp3
111,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,10,AAG_AAK_3_10.mp3
112,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,9,AHB_AHP_3_9.mp3
113,NA,left,NA,NA,coda,AHD_AHT_3,AH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,22,AHD_AHT_3_22.mp3
114,NA,left,NA,NA,coda,AHG_AHK_3,AH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,14,AHG_AHK_3_14.mp3
115,NA,left,NA,NA,coda,IHB_IHP_5,IH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,9,IHB_IHP_5_9.mp3
116,NA,left,NA,NA,coda,IHD_IHT_3,IH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,8,IHD_IHT_3_8.mp3
117,NA,left,NA,NA,coda,IHG_IHK_5,IH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,13,IHG_IHK_5_13.mp3
118,NA,left,NA,NA,coda,UHB_UHP_5,UH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,9,UHB_UHP_5_9.mp3
119,NA,left,NA,NA,coda,UHD_UHT_5,UH,NA,NA,NA,DT,NA,2,,D,T,NA,NA,15,UHD_UHT_5_15.mp3
120,NA,left,NA,NA,coda,UHG_UHK_5,UH,NA,NA,NA,GK,NA,2,,G,K,NA,NA,13,UHG_UHK_5_13.mp3
121,NA,left,NA,NA,coda,AAB_AAP_1,AA,NA,NA,NA,BP,NA,2,,B,P,NA,NA,0,AAB_AAP_1_0.mp3
122,NA,left,NA,NA,coda,AAD_AAT_5,AA,NA,NA,NA,DT,NA,2,,D,T,NA,NA,0,AAD_AAT_5_0.mp3
123,NA,left,NA,NA,coda,AAG_AAK_3,AA,NA,NA,NA,GK,NA,2,,G,K,NA,NA,0,AAG_AAK_3_0.mp3
124,NA,left,NA,NA,coda,AHB_AHP_3,AH,NA,NA,NA,BP,NA,2,,B,P,NA,NA,0,AHB_AHP_3_0.mp3
