index,set,voiced,voiceless,step,underscore,extension,path
170,abe_ape_1,abe,ape,22,_,.mp3,abe_ape_1_22.mp3
171,chug_chuck_3,chug,chuck,22,_,.mp3,chug_chuck_3_22.mp3
172,fade_fate_3,fade,fate,18,_,.mp3,fade_fate_3_18.mp3
173,feed_feet_1,feed,feet,20,_,.mp3,feed_feet_1_20.mp3
174,flab_flap_1,flab,flap,22,_,.mp3,flab_flap_1_22.mp3
175,flag_flack_1,flag,flack,22,_,.mp3,flag_flack_1_22.mp3
176,ford_fort_1,ford,fort,22,_,.mp3,ford_fort_1_22.mp3
177,hard_heart_1,hard,heart,22,_,.mp3,hard_heart_1_22.mp3
178,hide_height_3,hide,height,20,_,.mp3,hide_height_3_20.mp3
179,hug_huck_1,hug,huck,19,_,.mp3,hug_huck_1_19.mp3
180,lab_lap_3,lab,lap,21,_,.mp3,lab_lap_3_21.mp3
181,lag_lack_1,lag,lack,13,_,.mp3,lag_lack_1_13.mp3
182,league_leak_1,league,leak,16,_,.mp3,league_leak_1_16.mp3
183,lob_lop_3,lob,lop,18,_,.mp3,lob_lop_3_18.mp3
184,lube_loop_3,lube,loop,18,_,.mp3,lube_loop_3_18.mp3
185,lug_luck_1,lug,luck,19,_,.mp3,lug_luck_1_19.mp3
186,mob_mop_3,mob,mop,21,_,.mp3,mob_mop_3_21.mp3
187,mound_mount_1,mound,mount,20,_,.mp3,mound_mount_1_20.mp3
188,mug_muck_3,mug,muck,22,_,.mp3,mug_muck_3_22.mp3
189,nag_knack_3,nag,knack,22,_,.mp3,nag_knack_3_22.mp3
190,nab_nap_1,nab,nap,14,_,.mp3,nab_nap_1_14.mp3
191,rag_rack_3,rag,rack,20,_,.mp3,rag_rack_3_20.mp3
192,rib_rip_3,rib,rip,21,_,.mp3,rib_rip_3_21.mp3
193,ride_write_3,ride,write,21,_,.mp3,ride_write_3_21.mp3
194,rig_rick_3,rig,rick,19,_,.mp3,rig_rick_3_19.mp3
195,robe_rope_3,robe,rope,21,_,.mp3,robe_rope_3_21.mp3
196,sag_sack_1,sag,sack,20,_,.mp3,sag_sack_1_20.mp3
197,seed_seat_3,seed,seat,20,_,.mp3,seed_seat_3_20.mp3
198,send_sent_3,send,sent,19,_,.mp3,send_sent_3_19.mp3
199,shag_shack_3,shag,shack,21,_,.mp3,shag_shack_3_21.mp3
200,slab_slap_1,slab,slap,21,_,.mp3,slab_slap_1_21.mp3
201,slid_slit_1,slid,slit,22,_,.mp3,slid_slit_1_22.mp3
202,slide_slight_3,slide,slight,20,_,.mp3,slide_slight_3_20.mp3
203,slob_slop_3,slob,slop,22,_,.mp3,slob_slop_3_22.mp3
